"","ID","Drug","MOSE","M378","SpecificToMOSE","SpecificToM378"
"52","A3177","AN-2690",1.249341317,0.884595917,"Not Specific","Not Specific"
"53","A3179","Anamorelin",1.262754491,0.855070019,"Not Specific","Not Specific"
"54","A3190","ASC-J9",0.917844311,0.53500928,"Not Specific","Specific"
"55","A3191","Ascomycin(FK 520)",1.061556886,0.950733929,"Not Specific","Not Specific"
"56","A3209","AXL1717",0.638083832,0.768854395,"Not Specific","Not Specific"
"57","A3220","Bardoxolone",0.465628743,0.786569934,"Specific","Not Specific"
"58","A3237","Betulinic acid",1.067305389,0.862156234,"Not Specific","Not Specific"
"59","A3241","Bilobalide",1.142035928,0.889320061,"Not Specific","Not Specific"
"60","A3265","Brassinolide",1.406467066,0.82554412,"Not Specific","Not Specific"
"61","A3278","Nonivamide (Capsaicin Analog)",1.203353293,0.811371689,"Not Specific","Not Specific"
"62","A3306","Chelerythrine Chloride",0.373652695,0.666104269,"Specific","Not Specific"
"63","A3324","Colchicine",0.67257485,0.707440526,"Not Specific","Not Specific"
"64","A3327","Costunolide",1.237844311,0.875147629,"Not Specific","Not Specific"
"65","A3335","Curcumin",1.128622754,0.868061414,"Not Specific","Not Specific"
"66","A3348","Daminozide",1.057724551,0.954277037,"Not Specific","Not Specific"
"67","A3370","Docetaxel Trihydrate",0.879520958,0.741690569,"Not Specific","Not Specific"
"68","A3371","Doramectin",1.057724551,0.178336427,"Not Specific","Specific"
"69","A3374","Dronedarone",1.065389222,0.877509701,"Not Specific","Not Specific"
"70","A3375","DY131",0.856526946,0.79956133,"Not Specific","Not Specific"
"71","A3392","Emodin",1.113293413,0.852707947,"Not Specific","Not Specific"
"72","A3412","Fenretinide",1.007904192,0.813733761,"Not Specific","Not Specific"
"73","A3417","Flavopiridol",0.613173653,0.676733592,"Not Specific","Not Specific"
"74","A3423","Galanthamine",1.142035928,0.859794162,"Not Specific","Not Specific"
"75","A3424","Gambogic Acid",0.369820359,0.178336427,"Not Specific","Specific"
"76","A3522","Kaempferide",1.059640719,0.855070019,"Not Specific","Not Specific"
"77","A3528","Kinetin",1.120958084,0.934199426,"Not Specific","Not Specific"
"78","A3555","Limonin",1.124790419,0.922389067,"Not Specific","Not Specific"
"79","A3583","Matrine",1.153532934,0.876328665,"Not Specific","Not Specific"
"80","A3664","Nordihydroguaiaretic acid",1.126706587,0.79956133,"Not Specific","Not Specific"
"81","A3708","Pentostatin",1.086467066,0.879871773,"Not Specific","Not Specific"
"82","A3723","Phloretin",1.090299401,0.849164839,"Not Specific","Not Specific"
"83","A3733","Pramipexole dihydrochloride",1.138203593,0.894044204,"Not Specific","Not Specific"
"84","A3740","Puromycin aminonucleoside",1.040479042,0.860975198,"Not Specific","Not Specific"
"85","A3781","Ruxolitinib phosphate",1.109461078,0.822001012,"Not Specific","Not Specific"
"86","A3785","Salinomycin",0.60742515,0.291715876,"Not Specific","Specific"
"87","A3832","Solasodine",1.178443114,0.904673528,"Not Specific","Not Specific"
"88","A3861","TBB",1.188023952,0.879871773,"Not Specific","Not Specific"
"89","A3863","Tedizolid",1.032872797,0.972082133,"Not Specific","Not Specific"
"90","A3891","Triptolide",0.539304431,0.547190202,"Not Specific","Not Specific"
"91","A3892","Triptonide",0.575512149,0.569884726,"Not Specific","Not Specific"
"92","A3896","Tulathromycin A",1.059552168,0.761527378,"Not Specific","Not Specific"
"93","A3920","Vinblastine sulfate",0.588851834,0.590057637,"Not Specific","Not Specific"
"94","A3921","Vinorelbine ditartrate",0.60219152,0.58879683,"Not Specific","Not Specific"
"95","A3926","Vortioxetine",1.004287756,0.730007205,"Not Specific","Not Specific"
"96","A3967","Lapatinib Ditosylate",1.067174845,0.728746398,"Not Specific","Not Specific"
"97","A4014","Artemether (SM-224)",1.015721772,0.804394813,"Not Specific","Not Specific"
"98","A4052","Doxycycline hyclate",0.973797046,0.798090778,"Not Specific","Not Specific"
"99","A4054","17-AAG (KOS953)",0.945212006,0.443804035,"Not Specific","Specific"
"100","A4060","Geldanamycin",1.042401143,0.409762248,"Not Specific","Specific"
"101","A4071","Fluorouracil (Adrucil)",0.75083373,0.607708934,"Not Specific","Not Specific"
"102","A4099","Valproic acid sodium salt (Sodium valproate)",0.577417818,0.50306196,"Not Specific","Not Specific"
"103","A4176","Thioguanine",0.506908051,0.640489914,"Not Specific","Not Specific"
"104","A4182","Resveratrol",1.107193902,0.909041787,"Not Specific","Not Specific"
"105","A4188","2-Methoxyestradiol (2-MeOE2)",0.649833254,0.733789625,"Not Specific","Not Specific"
"106","A4308","Alizarin",1.046212482,0.936779539,"Not Specific","Not Specific"
"107","A4309","GW501516",1.048118152,0.96073487,"Not Specific","Not Specific"
"108","A4320","Voriconazole",1.059552168,0.946865994,"Not Specific","Not Specific"
"109","A4322","Clarithromycin",1.069080515,0.94434438,"Not Specific","Not Specific"
"110","A4330","Isotretinoin",1.034778466,1.062860231,"Not Specific","Not Specific"
"111","A4336","Mycophenolate Mofetil",0.564078132,0.619056196,"Not Specific","Not Specific"
"112","A4343","Dyphylline",1.010004764,0.950648415,"Not Specific","Not Specific"
"113","A4346","Aminophylline",1.02334445,0.948126801,"Not Specific","Not Specific"
"114","A4365","Lovastatin",0.916626965,0.640489914,"Not Specific","Not Specific"
"115","A4369","Pravastatin sodium",0.981419724,0.905259366,"Not Specific","Not Specific"
"116","A4390","Pemetrexed",0.832777513,0.640489914,"Not Specific","Not Specific"
"117","A4393","Paclitaxel (Taxol)",0.640304907,0.697226225,"Not Specific","Not Specific"
"118","A4394","Docetaxel",0.640304907,0.677053314,"Not Specific","Not Specific"
"119","A4395","10-DAB (10-Deacetylbaccatin)",0.920438304,0.930475504,"Not Specific","Not Specific"
"120","A4407","Fumagillin",0.802286803,0.801873199,"Not Specific","Not Specific"
"121","A4448","Actinomycin D",0.546927108,0.330331412,"Not Specific","Specific"
"122","A4452","Mitomycin C",0.964268699,0.535842939,"Not Specific","Specific"
"123","A4455","Piperlongumine",1.05383516,0.872478386,"Not Specific","Not Specific"
"124","A4456","Plumbagin",0.937589328,0.939301153,"Not Specific","Not Specific"
"125","A4457","Streptozocin",1.027155788,0.887608069,"Not Specific","Not Specific"
"126","A4488","Anacardic acid",0.840400191,0.864913545,"Not Specific","Not Specific"
"127","A4524","4-HQN",0.937589328,0.853566282,"Not Specific","Not Specific"
"128","A5133","Irinotecan",0.985231062,0.711095101,"Not Specific","Not Specific"
"129","A5181","Linezolid",1.139590281,0.979646974,"Not Specific","Not Specific"
"130","A5226","Tigecycline",0.987136732,0.880043228,"Not Specific","Not Specific"
"131","A5346","Marbofloxacin",0.87279657,0.814481268,"Not Specific","Not Specific"
"132","A5391","Varenicline Tartrate",0.998570748,0.953170029,"Not Specific","Not Specific"
"133","A5559","Cefaclor",1.210100048,0.979646974,"Not Specific","Not Specific"
"134","A5786","Natamycin",1.027155788,0.932997118,"Not Specific","Not Specific"
"135","A5931","Aztreonam",0.979514054,0.854827089,"Not Specific","Not Specific"
"136","A6685","3-Chlorotyrosine",0.882324917,0.876260807,"Not Specific","Not Specific"
"137","A6743","H-D-Ser-OH",0.924249643,0.843479827,"Not Specific","Not Specific"
"138","A7132","H-Cys-OH",1.055740829,0.828350144,"Not Specific","Not Specific"
"139","A7291","H-Ser-OH",0.96236303,0.829610951,"Not Specific","Not Specific"
"140","A7486","H-Cit-OH",1.084325869,0.869956772,"Not Specific","Not Specific"
"141","A7543","H-HoArg-OH",1.069080515,0.867435159,"Not Specific","Not Specific"
"142","A7583","H-HoSer-OH",0.941400667,0.905259366,"Not Specific","Not Specific"
"143","A7656","H-DL-Nva-OH",1.02143878,0.982168588,"Not Specific","Not Specific"
"144","A8010","Biotin",1.269175798,0.959474063,"Not Specific","Not Specific"
"145","A8167","Rapamycin (Sirolimus)",0.853739876,0.717399135,"Not Specific","Not Specific"
"146","A8183","Trichostatin A (TSA)",0.665078609,0.50684438,"Not Specific","Not Specific"
"147","A8184","AICAR",0.941400667,0.883825648,"Not Specific","Not Specific"
"148","A8188","Atractyloside Dipotassium Salt",0.899475941,0.856087896,"Not Specific","Not Specific"
"149","A8189","PSI-6206",0.952834683,0.847262248,"Not Specific","Not Specific"
"150","A8192","Staurosporine",0.373511196,0.206772334,"Not Specific","Specific"
"151","A8202","Abiraterone acetate",1.067174845,0.839697406,"Not Specific","Not Specific"
"152","A8219","Gefitinib (ZD1839)",1.017627442,0.828350144,"Not Specific","Not Specific"
"153","A8235","Embelin",0.859456884,0.716138329,"Not Specific","Not Specific"
"154","A8244","Cycloheximide",0.508813721,0.504322767,"Not Specific","Not Specific"
"155","A8331","Bleomycin Sulfate",1.181515007,0.678314121,"Not Specific","Specific"
"156","A8340","Cyclopamine",0.990948071,0.963256484,"Not Specific","Not Specific"
"157","A8353","3-Methyladenine",1.063363506,0.909041787,"Not Specific","Not Specific"
"158","A8356","Acetylcysteine",1.027155788,0.852305476,"Not Specific","Not Specific"
"159","A8358","Albendazole",0.665078609,0.692182997,"Not Specific","Not Specific"
"160","A8369","Atropine sulfate monohydrate",1.063363506,0.878782421,"Not Specific","Not Specific"
"161","A8377","Betacarotene",0.990948071,0.887608069,"Not Specific","Not Specific"
"162","A8378","Betamethasone Dipropionate",0.985231062,0.830871758,"Not Specific","Not Specific"
"163","A8381","BIBR-1048",1.011910434,0.919128242,"Not Specific","Not Specific"
"164","A8387","Calcium Gluceptate",1.05192949,0.921649856,"Not Specific","Not Specific"
"165","A8388","Carbadox",1.086231539,0.958213256,"Not Specific","Not Specific"
"166","A8389","Carbenoxolone disodium",1.286326822,0.948126801,"Not Specific","Not Specific"
"167","A8390","Casanthranol",1.240590758,0.948126801,"Not Specific","Not Specific"
"168","A8391","Cefdinir",1.151024297,0.919128242,"Not Specific","Not Specific"
"169","A8392","Cefoperazone",1.145307289,0.882564841,"Not Specific","Not Specific"
"170","A8401","Clotrimazole",1.2939495,0.84221902,"Not Specific","Not Specific"
"171","A8405","Cytarabine",0.8708909,0.791786744,"Not Specific","Not Specific"
"172","A8406","Dextrose (D-glucose)",1.373987613,0.852305476,"Not Specific","Not Specific"
"173","A8407","Dibucaine (Cinchocaine) HCl",1.267270129,0.838436599,"Not Specific","Not Specific"
"174","A8411","Difloxacin HCl",1.116722249,0.803134006,"Not Specific","Not Specific"
"175","A8425","Estradiol",1.091948547,0.843479827,"Not Specific","Not Specific"
"176","A8426","Estrone",1.097665555,0.859870317,"Not Specific","Not Specific"
"177","A8427","Ethambutol HCl",1.102781137,0.980554949,"Not Specific","Not Specific"
"178","A8428","Ethinyl Estradiol",1.160822249,0.913698929,"Not Specific","Not Specific"
"179","A8429","Ethionamide",1.081499395,0.86912825,"Not Specific","Not Specific"
"180","A8433","Flucytosine",1.054413543,0.882237273,"Not Specific","Not Specific"
"181","A8435","Furosemide",1.091172914,0.921564343,"Not Specific","Not Specific"
"182","A8436","Gabapentin",1.133736397,0.901900808,"Not Specific","Not Specific"
"183","A8442","Guaifenesin",1.096977025,0.956958707,"Not Specific","Not Specific"
"184","A8460","Levodopa",1.102781137,0.93074066,"Not Specific","Not Specific"
"185","A8461","L-Glutamine",1.10471584,0.894035394,"Not Specific","Not Specific"
"186","A8462","Lithium Citrate",1.046674728,0.831112082,"Not Specific","Not Specific"
"187","A8463","Lithocholic Acid",0.969286578,0.740659821,"Not Specific","Not Specific"
"188","A8468","Mepiroxol",1.224667473,1.029058335,"Not Specific","Not Specific"
"189","A8478","Monobenzone",1.009915357,0.782608696,"Not Specific","Not Specific"
"190","A8486","Nitrofurazone",1.288512696,0.918942539,"Not Specific","Not Specific"
"191","A8487","Nocodazole",0.675211608,0.789163207,"Not Specific","Not Specific"
"192","A8490","Olsalazine Sodium",1.222732769,1.086738038,"Not Specific","Not Specific"
"193","A8492","Orlistat",1.145344619,1.02643653,"Not Specific","Not Specific"
"194","A8496","Paliperidone",1.170495768,1.005462093,"Not Specific","Not Specific"
"195","A8502","Piromidic Acid",1.162756953,1.017260214,"Not Specific","Not Specific"
"196","A8509","Progesterone",1.21305925,1.073629015,"Not Specific","Not Specific"
"197","A8510","Ranolazine",1.172430472,1.126065108,"Not Specific","Not Specific"
"198","A8512","Rifaximin (Xifaxan)",1.207255139,0.836355692,"Not Specific","Not Specific"
"199","A8521","Silodosin",1.205320435,0.97006773,"Not Specific","Not Specific"
"200","A8522","Simvastatin (Zocor)",1.002176542,0.714441774,"Not Specific","Not Specific"
"201","A8527","Sulfadiazine",1.031197098,1.067074503,"Not Specific","Not Specific"
"202","A8529","Tebipenempivoxil",0.990568319,0.985798558,"Not Specific","Not Specific"
"203","A8530","Telbivudine",1.07376058,1.018571116,"Not Specific","Not Specific"
"204","A8538","Tiopronin (Thiola)",1.05828295,1.051343675,"Not Specific","Not Specific"
"205","A8539","Tretinoin (Aberela)",1.023458283,1.122132401,"Not Specific","Not Specific"
"206","A8543","Vitamin D2 (Ergocalciferol)",1.033131802,1.057898187,"Not Specific","Not Specific"
"207","A8612","L-Kynurenine",1.025392987,1.076250819,"Not Specific","Not Specific"
"208","A8615","ITE",1.006045949,0.844221106,"Not Specific","Not Specific"
"209","A8630","Xanthohumol",1.085368803,0.920253441,"Not Specific","Not Specific"
"210","A8640","Flavopiridol hydrochloride",0.621039903,0.715752676,"Not Specific","Not Specific"
"211","A8644","Acyclovir",1.025392987,0.984487656,"Not Specific","Not Specific"
"212","A8647","Capecitabine",1.035066505,0.980554949,"Not Specific","Not Specific"
"213","B1027","2-Deoxy-D-glucose",0.990568319,0.894035394,"Not Specific","Not Specific"
"214","B1035","Dolastatin 10",0.545586457,0.705265458,"Not Specific","Not Specific"
"215","B1042","Adrenosterone",0.9808948,0.900589906,"Not Specific","Not Specific"
"216","B1076","Doripenem",1.01185006,0.912388027,"Not Specific","Not Specific"
"217","B1092","Salicylic acid",1.009915357,0.983176753,"Not Specific","Not Specific"
"218","B1119","Efavirenz",0.978960097,0.943849683,"Not Specific","Not Specific"
"219","B1125","Pravastatin",1.017654172,0.980554949,"Not Specific","Not Specific"
"220","B1134","Oxybutynin chloride",1.07376058,0.993663972,"Not Specific","Not Specific"
"221","B1147","Orotic acid",1.153083434,1.002840288,"Not Specific","Not Specific"
"222","B1157","sn-Glycero-3-phosphocholine",1.054413543,1.022503823,"Not Specific","Not Specific"
"223","B1217","Meropenem trihydrate",0.992503023,0.98710946,"Not Specific","Not Specific"
"224","B1223","Vancomycin hydrochloride",0.895767836,0.916320734,"Not Specific","Not Specific"
"225","B1224","Anidulafungin",0.913180169,0.774743282,"Not Specific","Not Specific"
"226","B1251","Valproic acid",0.988633615,0.984487656,"Not Specific","Not Specific"
"227","B1270","Reserpine hydrochloride",1.10471584,0.696089141,"Not Specific","Specific"
"228","B1303","Amsacrine hydrochloride",0.628778718,0.730172602,"Not Specific","Not Specific"
"229","B1327","Epinephrine HCl",0.928657799,0.93074066,"Not Specific","Not Specific"
"230","B1336","Isoprenaline HCl",1.009915357,0.951715097,"Not Specific","Not Specific"
"231","B1344","Phenylephrine HCl",1.054413543,0.991042167,"Not Specific","Not Specific"
"232","B1358","Epinephrine Bitartrate",1.164691657,0.920253441,"Not Specific","Not Specific"
"233","B1364","Scopine",1.023458283,1.006772995,"Not Specific","Not Specific"
"234","B1375","Dehydroepiandrosterone (DHEA)",0.930592503,0.980554949,"Not Specific","Not Specific"
"235","B1398","Azithromycin",0.868681983,0.949093293,"Not Specific","Not Specific"
"236","B1400","Brefeldin A",0.472067715,0.477168451,"Not Specific","Not Specific"
"237","B1421","Forskolin",1.007980653,0.945160586,"Not Specific","Not Specific"
"238","B1441","Lornoxicam",0.940266022,0.950404195,"Not Specific","Not Specific"
"239","B1456","Asaraldehyde",0.948004837,0.900589906,"Not Specific","Not Specific"
"240","B1468","Adenine",0.924788392,1.124754206,"Not Specific","Not Specific"
"241","B1469","Adenine sulfate",1.124062878,1.036923749,"Not Specific","Not Specific"
"242","B1471","Adenine HCl",1.048609432,1.111645182,"Not Specific","Not Specific"
"243","B1472","Mizoribine",1.303990326,0.943849683,"Not Specific","Not Specific"
"244","B1473","Uridine",1.164691657,0.989731265,"Not Specific","Not Specific"
"245","B1480","Chlorpromazine HCl",1.044740024,1.014638409,"Not Specific","Not Specific"
"246","B1482","Dopamine HCl",1.095042322,0.942538781,"Not Specific","Not Specific"
"247","B1501","Estradiol Cypionate",0.975090689,0.935984269,"Not Specific","Not Specific"
"248","B1502","Ethisterone",0.949939541,0.907144418,"Not Specific","Not Specific"
"249","B1505","Epiandrosterone",0.920918984,0.876993664,"Not Specific","Not Specific"
"250","B1506","Estradiol valerate",1.01185006,0.915009832,"Not Specific","Not Specific"
"251","B1507","Estriol",0.959613059,0.894035394,"Not Specific","Not Specific"
"252","B1510","Medroxyprogesterone acetate",1.021523579,0.928118855,"Not Specific","Not Specific"
"253","B1512","Pregnenolone",1.100846433,0.966135023,"Not Specific","Not Specific"
"254","B1514","Equol",1.342684401,1.021192921,"Not Specific","Not Specific"
"255","B1561","Histamine 2HCl",1.284643289,0.932051562,"Not Specific","Not Specific"
"256","B1571","Desloratadine",1.162756953,0.827179375,"Not Specific","Not Specific"
"257","B1596","Acetylcholine Chloride",1.199516324,0.894035394,"Not Specific","Not Specific"
"258","B1603","Homatropine Bromide",1.27496977,0.894035394,"Not Specific","Not Specific"
"259","B1605","Hyoscyamine",1.286577993,0.865195543,"Not Specific","Not Specific"
"260","B1624","NMDA (N-Methyl-D-aspartic acid)",1.222732769,0.907144418,"Not Specific","Not Specific"
"261","B1634","Fosbretabulin (Combretastatin A4 Phosphate (CA4P)) Disodium",0.646191052,0.709198165,"Not Specific","Not Specific"
"262","B1644","Caffeic Acid Phenethyl Ester",1.069891173,0.866506445,"Not Specific","Not Specific"
"263","B1651","1-Hexadecanol",1.023458283,0.845532008,"Not Specific","Not Specific"
"264","B1654","Aloperine",1.05828295,0.820624863,"Not Specific","Not Specific"
"265","B1658","Amikacin disulfate",1.176318622,1.069255663,"Not Specific","Not Specific"
"266","B1659","Aminothiazole",1.136706136,0.834951456,"Not Specific","Not Specific"
"267","B1661","Amoxicillin",1.059203445,0.838834951,"Not Specific","Not Specific"
"268","B1662","Ampicillin Trihydrate",1.083315393,0.8,"Not Specific","Not Specific"
"269","B1665","Apramycin Sulfate",1.110871905,0.938511327,"Not Specific","Not Specific"
"270","B1667","Azaguanine-8",0.532185145,0.323624595,"Not Specific","Specific"
"271","B1669","Azithromycin Dihydrate",0.947255113,0.796116505,"Not Specific","Not Specific"
"272","B1670","Bacitracin",0.945532831,0.83236246,"Not Specific","Not Specific"
"273","B1671","Bacitracin Zinc",0.979978471,0.819417476,"Not Specific","Not Specific"
"274","B1676","Benzoic Acid",1.016146394,0.84789644,"Not Specific","Not Specific"
"275","B1678","Penicillin G Sodium",1.010979548,0.8802589,"Not Specific","Not Specific"
"276","B1679","Betamipron",1.176318622,0.990291262,"Not Specific","Not Specific"
"277","B1685","Broxyquinoline",1.460495156,0.875080906,"Not Specific","Not Specific"
"278","B1689","Capreomycin Sulfate",1.31065662,1.045954693,"Not Specific","Not Specific"
"279","B1691","Ceftriaxone Sodium Trihydrate",1.358880517,1.03171521,"Not Specific","Not Specific"
"280","B1692","Cephalexin",1.410548977,0.977346278,"Not Specific","Not Specific"
"281","B1695","Chlorhexidine HCl",0.909364909,0.384466019,"Not Specific","Specific"
"282","B1698","Chlorquinaldol",0.90247578,0.889320388,"Not Specific","Not Specific"
"283","B1699","Chlortetracycline HCl",0.874919268,0.757281553,"Not Specific","Not Specific"
"284","B1702","Cholesterol",1.188374596,1.011003236,"Not Specific","Not Specific"
"285","B1703","Choline Chloride",1.224542519,0.986407767,"Not Specific","Not Specific"
"286","B1707","Clindamycin",1.098815931,1.027831715,"Not Specific","Not Specific"
"287","B1708","Clindamycin Phosphate",1.110871905,1.168932039,"Not Specific","Not Specific"
"288","B1716","Colistin Sulfate",1.407104413,1.097734628,"Not Specific","Not Specific"
"289","B1717","Creatinine",1.147039828,0.992880259,"Not Specific","Not Specific"
"290","B1719","Cysteamine HCl",0.814639397,0.929449838,"Not Specific","Not Specific"
"291","B1721","D-Cycloserine",1.307212056,0.912621359,"Not Specific","Not Specific"
"292","B1724","Deoxycorticosterone acetate",1.222820237,0.88802589,"Not Specific","Not Specific"
"293","B1726","Diacerein",1.432938644,0.92038835,"Not Specific","Not Specific"
"294","B1730","Dinitolmide",1.145317546,0.924271845,"Not Specific","Not Specific"
"295","B1731","Dirithromycin",1.033369214,0.954045307,"Not Specific","Not Specific"
"296","B1734","Doxofylline",0.998923574,1.013592233,"Not Specific","Not Specific"
"297","B1742","Enrofloxacin",1.138428418,0.954045307,"Not Specific","Not Specific"
"298","B1747","Erythritol",1.076426265,0.961812298,"Not Specific","Not Specific"
"299","B1754","Fenspiride HCl",1.401937567,0.950161812,"Not Specific","Not Specific"
"300","B1755","Fidaxomicin",1.105705059,0.877669903,"Not Specific","Not Specific"
"301","B1758","Florfenicol",1.312378902,1.219417476,"Not Specific","Not Specific"
"302","B1764","Furaltadone HCl",1.110871905,0.666666667,"Not Specific","Specific"
"303","B1770","Histamine Phosphate",1.072981701,0.875080906,"Not Specific","Not Specific"
"304","B1775","Isovaleramide",1.181485468,0.836245955,"Not Specific","Not Specific"
"305","B1788","Mevastatin",1.026480086,0.67184466,"Not Specific","Specific"
"306","B1790","Mezlocillin Sodium",1.116038751,0.919093851,"Not Specific","Not Specific"
"307","B1791","Minocycline HCl",0.852529602,1.048543689,"Not Specific","Not Specific"
"308","B1793","NAD+",1.072981701,1.15987055,"Not Specific","Not Specific"
"309","B1795","Neomycin sulfate",1.083315393,1.05631068,"Not Specific","Not Specific"
"310","B1796","Netilmicin Sulfate",1.350269107,0.919093851,"Not Specific","Not Specific"
"311","B1800","Nithiamide",1.045425188,0.859546926,"Not Specific","Not Specific"
"312","B1808","Paromomycin Sulfate",0.969644779,0.802588997,"Not Specific","Not Specific"
"313","B1816","Pilocarpine HCl",1.028202368,0.898381877,"Not Specific","Not Specific"
"314","B1818","Piperacillin Sodium",1.207319699,0.866019417,"Not Specific","Not Specific"
"315","B1820","Primaquine Diphosphate",1.18320775,0.779288026,"Not Specific","Not Specific"
"316","B1825","Ribostamycin Sulfate",0.943810549,0.822006472,"Not Specific","Not Specific"
"317","B1828","Sarafloxacin HCl",1.01270183,0.85566343,"Not Specific","Not Specific"
"318","B1830","Serotonin HCl",0.978256189,0.969579288,"Not Specific","Not Specific"
"319","B1834","Sodium ascorbate",1.024757804,1.052427184,"Not Specific","Not Specific"
"320","B1835","Sodium butyrate",1.045425188,1.020064725,"Not Specific","Not Specific"
"321","B1838","Sodium Nitrite",1.351991389,1.029126214,"Not Specific","Not Specific"
"322","B1839","Spiramycin",1.014424112,0.994174757,"Not Specific","Not Specific"
"323","B1840","Sucralose",0.993756728,0.924271845,"Not Specific","Not Specific"
"324","B1842","Sulfaguanidine",1.190096878,0.934627832,"Not Specific","Not Specific"
"325","B1844","Sulfapyridine",1.112594187,0.877669903,"Not Specific","Not Specific"
"326","B1846","Taurine",1.196986006,0.942394822,"Not Specific","Not Specific"
"327","B1847","Teicoplanin",1.010979548,0.88802589,"Not Specific","Not Specific"
"328","B1852","Thiamine HCl (Vitamin B1)",1.055758881,0.939805825,"Not Specific","Not Specific"
"329","B1853","Thiamphenicol",1.00409042,1.201294498,"Not Specific","Not Specific"
