"","Rank","ID","Drug","Viability","KRAS","FC","Lable","Label"
"37",37,"A3891","Triptolide",0.539304431,0.864659872,1.60328716453657,"Normal","FC≤2"
"38",38,"N1798","Tetrandrine",0.544407895,0.675885912,1.24150644802827,"Normal","FC≤2"
"39",39,"B1035","Dolastatin 10",0.545586457,0.719232374,1.31827387716847,"Normal","FC≤2"
"40",40,"A4448","Actinomycin D",0.546927108,0.940507229,1.71962079634202,"Normal","FC≤2"
"41",41,"B4745","(S)-10-Hydroxycamptothecin",0.550930366,0.900866218,1.63517256189868,"Normal","FC≤2"
"42",42,"B3404","Methylcobalamin",0.558603491,0.866217517,1.55068403788404,"Normal","FC≤2"
"43",43,"B3662","Artesunate",0.561672741,0.820019249,1.45995913481584,"Normal","FC≤2"
"44",44,"B2157","Cabazitaxel",0.563207366,0.692974013,1.23040651602557,"Normal","FC≤2"
"45",45,"A4336","Mycophenolate Mofetil",0.564078132,0.961365252,1.70431221751387,"Normal","FC≤2"
"46",46,"B7336","Thiostrepton",0.575079872,0.737853418,1.28304511064508,"Normal","FC≤2"
"47",47,"A3892","Triptonide",0.575512149,0.900687367,1.56501885940205,"Normal","FC≤2"
"48",48,"A4099","Valproic acid sodium salt (Sodium valproate)",0.577417818,0.87793316,1.52044694956053,"Normal","FC≤2"
"49",49,"A1765","Vincristine sulfate",0.580598802,0.824391397,1.41989854984234,"Normal","FC≤2"
"50",50,"A3920","Vinblastine sulfate",0.588851834,0.843801849,1.43296123112695,"Normal","FC≤2"
"51",51,"N1799","Fangchinoline",0.59375,0.784788245,1.32174862315789,"Normal","FC≤2"
"52",52,"B3668","Sodium Monensin",0.596969116,0.779595765,1.30592311076944,"Normal","FC≤2"
"53",53,"B4869","Cyclocytidine HCl",0.598503741,0.754571704,1.26076355469263,"Normal","FC≤2"
"54",54,"A3921","Vinorelbine ditartrate",0.60219152,0.817255274,1.35713514198938,"Normal","FC≤2"
"55",55,"A3125","5-Iodotubercidin",0.603592814,0.915150083,1.51617126939487,"Normal","FC≤2"
"56",56,"A3785","Salinomycin",0.60742515,1.145828409,1.88636971814552,"Normal","FC≤2"
"57",57,"A3417","Flavopiridol",0.613173653,0.79035689,1.28896094301038,"Normal","FC≤2"
"58",58,"A8640","Flavopiridol hydrochloride",0.621039903,0.899457655,1.44830895833758,"Normal","FC≤2"
"59",59,"N1723","Dioscin",0.623503543,0.672413793,1.07844422144687,"Normal","FC≤2"
"60",60,"C6567","9-Aminoacridine",0.628558817,0.73523736,1.16971926908791,"Normal","FC≤2"
"61",61,"B1303","Amsacrine hydrochloride",0.628778718,0.936170213,1.48887070474927,"Normal","FC≤2"
"62",62,"N2133","7-Ethyl-10-hydroxycamptothecin",0.636085627,0.954058557,1.49989013507453,"Normal","FC≤2"
"63",63,"A2606","Epoxomicin",0.636167665,0.735523517,1.15617872058933,"Normal","FC≤2"
"64",64,"N1802","Oridonin",0.636513158,0.942091616,1.48008191843223,"Normal","FC≤2"
"65",65,"A3209","AXL1717",0.638083832,0.867879934,1.36013465703986,"Normal","FC≤2"
"66",66,"A2877","Camptothecin",0.64,0.843299456,1.3176554,"Normal","FC≤2"
"67",67,"A4393","Paclitaxel (Taxol)",0.640304907,0.908272102,1.41849936189853,"Normal","FC≤2"
"68",68,"A4394","Docetaxel",0.640304907,0.917753022,1.43330624514486,"Normal","FC≤2"
"69",69,"B1634","Fosbretabulin (Combretastatin A4 Phosphate (CA4P)) Disodium",0.646191052,0.747601168,1.15693519073984,"Normal","FC≤2"
"70",70,"A4188","2-Methoxyestradiol (2-MeOE2)",0.649833254,0.900687367,1.38602843338023,"Normal","FC≤2"
"71",71,"N2787","Cucurbitacin B",0.650653983,0.772886638,1.18786122607967,"Normal","FC≤2"
"72",72,"B5990","Diosmetin",0.651757188,0.835026077,1.28119197206307,"Normal","FC≤2"
"73",73,"A8183","Trichostatin A (TSA)",0.665078609,0.811566722,1.22025684034592,"Normal","FC≤2"
"74",74,"A8358","Albendazole",0.665078609,0.870348424,1.30863992950945,"Normal","FC≤2"
"75",75,"B5462","Rotenone",0.66909649,0.823869105,1.23131583757075,"Normal","FC≤2"
"76",76,"B7201","α-Estradiol",0.669329073,1.014548449,1.51576928289203,"Normal","FC≤2"
"77",77,"A3324","Colchicine",0.67257485,0.847081068,1.25945992182134,"Normal","FC≤2"
"78",78,"A2451","Epirubicin HCl",0.674491018,0.888678799,1.31755468239608,"Normal","FC≤2"
"79",79,"A3123","4'-Demethylepipodophyllotoxin",0.674491018,0.926494918,1.37362083893606,"Normal","FC≤2"
"80",80,"A8487","Nocodazole",0.675211608,0.806007509,1.19371097808496,"Normal","FC≤2"
"81",81,"B2104","Itraconazole",0.684230622,0.772427775,1.12889974544285,"Normal","FC≤2"
"82",82,"N1686","Cantharidin",0.713413144,1.203065134,1.68635123156632,"Normal","FC≤2"
"83",83,"B8227","Avibactam sodium",0.719136408,0.727359163,1.01143420762532,"Normal","FC≤2"
"84",84,"N2588","Momordin Ic",0.719143876,0.908453448,1.26324297309319,"Normal","FC≤2"
"85",85,"B3435","Procaine",0.719739114,0.914340712,1.27037796642521,"Normal","FC≤2"
"86",86,"B6135","Nitroxoline",0.722044728,0.854790008,1.18384633922568,"Normal","FC≤2"
"87",87,"B3403","Miglustat",0.724342989,1.031761309,1.42440987856376,"Normal","FC≤2"
"88",88,"B7898","Lipoamide",0.725417076,0.747325885,1.03020167256168,"Normal","FC≤2"
"89",89,"B3532","Acetaminophen",0.728946864,1.000962464,1.37316245316888,"Normal","FC≤2"
"90",90,"B2145","Fosaprepitant dimeglumine salt",0.733550739,0.856592878,1.16773500789834,"Normal","FC≤2"
"91",91,"N2076","Berberine Sulfate",0.733944954,1.336824566,1.82142347149375,"Normal","FC≤2"
"92",92,"N2122","7-Epitaxol",0.733944954,0.931206856,1.26876934152203,"Normal","FC≤2"
"93",93,"B8486","Roquinimex",0.734838077,0.711671024,0.968473254550744,"Normal","FC≤2"
"94",94,"B3433","Flavoxate hydrochloride",0.735085364,0.910490857,1.23861921565888,"Normal","FC≤2"
"95",95,"B2156","Bindarit",0.738154613,0.835418672,1.13176651244473,"Normal","FC≤2"
"96",96,"B3490","Eptifibatide",0.741223863,1.051010587,1.417939490974,"Normal","FC≤2"
"97",97,"C6592","Xanthoxyline",0.746854999,0.966808182,1.29450587235073,"Normal","FC≤2"
"98",98,"B3539","Ceftazidime",0.747362363,0.900866218,1.20539414693539,"Normal","FC≤2"
"99",99,"A4071","Fluorouracil (Adrucil)",0.75083373,1.033420242,1.37636363512865,"Normal","FC≤2"
"100",100,"B8604","L-Arginine (hydrochloride)",0.752109912,0.941288329,1.25153028032424,"Normal","FC≤2"
"101",101,"B6153","Isatin",0.752396166,0.951962668,1.26524125323626,"Normal","FC≤2"
"102",102,"A1623","Epothilone A",0.753053892,0.835736233,1.10979604763798,"Normal","FC≤2"
"103",103,"B3370","Arecoline hydrobromide",0.753500863,1.03946102,1.37950873189644,"Normal","FC≤2"
"104",104,"A2604","Celastrol",0.756886228,0.777121248,1.02673455963582,"Normal","FC≤2"
"105",105,"B4721","2'-Deoxyguanosine",0.758104738,0.993262753,1.31019198695471,"Normal","FC≤2"
"106",106,"B7005","Prostaglandin E2",0.758785942,0.782322262,1.03101839227274,"Normal","FC≤2"
"107",107,"C5616","Phytol",0.759315978,0.797786999,1.0506653647686,"Normal","FC≤2"
"108",108,"B2150","Sitafloxacin Hydrate",0.759639363,1.000962464,1.31768114286094,"Normal","FC≤2"
"109",109,"N1699","Berberine hydrochloride",0.760322502,0.898467433,1.18169254577711,"Normal","FC≤2"
"110",110,"B6123","S-Adenosylhomocysteine",0.760383387,0.815262147,1.07217248685103,"Normal","FC≤2"
"111",111,"N1778","Baicalin",0.761513158,1.031979257,1.35516930490123,"Normal","FC≤2"
"112",112,"C5543","Pleuromutilin",0.762889229,0.93526971,1.22595741878013,"Normal","FC≤2"
"113",113,"B7899","L-Sorbose",0.763101079,0.835749941,1.09520214818095,"Normal","FC≤2"
"114",114,"B7911","Pyridoxal hydrochloride",0.763101079,0.754456858,0.988672246393194,"Normal","FC≤2"
"115",115,"N1796","Coenzyme Q10",0.763157895,1.09593777,1.43605638778067,"Normal","FC≤2"
"116",116,"C6366","Capsaicin",0.763837638,1.223614776,1.60193045632559,"Normal","FC≤2"
"117",117,"B6943","Exendin-3 (9-39) amide",0.765175719,0.798792204,1.04393302631706,"Normal","FC≤2"
"118",118,"B7407","Insulin (human) recombinant expressed in yeast",0.765175719,0.891023881,1.16446962295729,"Normal","FC≤2"
"119",119,"B8600","Thiamine pyrophosphate",0.766241413,0.788685524,1.02929117458182,"Normal","FC≤2"
"120",120,"C6432","Octenidine (dihydrochloride)",0.767527675,1.078166227,1.40472619049209,"Normal","FC≤2"
"121",121,"B6105","Tizoxanide",0.768370607,0.904199835,1.1767756688798,"Normal","FC≤2"
"122",122,"C6632","Cyclen",0.769807989,1.059436511,1.37623475741819,"Normal","FC≤2"
"123",123,"B6444","L-NMMA acetate",0.771565495,0.930551743,1.20605671071385,"Normal","FC≤2"
"124",124,"B7174","DCA",0.771565495,0.947021685,1.22740284672787,"Normal","FC≤2"
"125",125,"B3527","Nitisinone",0.771916363,1.024061598,1.32664838716471,"Normal","FC≤2"
"126",126,"B7341","Canrenone",0.774760383,0.76585232,0.988502170225191,"Normal","FC≤2"
"127",127,"B3440","Nicergoline",0.774985613,0.950914341,1.22700902448882,"Normal","FC≤2"
"128",128,"B7901","Melibiose",0.775662414,0.850011885,1.09585287318047,"Normal","FC≤2"
"129",129,"B7431","Z-Guggulsterone",0.777955272,0.93713972,1.2046190233929,"Normal","FC≤2"
"130",130,"N1867","Reserpine",0.777960526,1.192739844,1.53316242166251,"Normal","FC≤2"
"131",131,"C5125","HQNO",0.778968862,0.790041494,1.01421447318391,"Normal","FC≤2"
"132",132,"B3492","Bedaquiline",0.779589488,1.149181906,1.47408594354982,"Normal","FC≤2"
"133",133,"B3664","Cinchonidine",0.781124113,0.914340712,1.17054472750606,"Normal","FC≤2"
"134",134,"B3673","Ipriflavone (Osteofix)",0.781124113,1.002887392,1.28390274389084,"Normal","FC≤2"
"135",135,"N1853","Physcion",0.78125,0.942091616,1.20587726848,"Normal","FC≤2"
"136",136,"B8658","5-Hydroxymethyl-2-furancarboxylic acid",0.781943081,0.703113858,0.899188029262708,"Normal","FC≤2"
"137",137,"C5580","Raceanisodamine",0.782542113,0.933333333,1.19269406399346,"Normal","FC≤2"
"138",138,"B3379","Verbascoside",0.782658738,1.064485082,1.36008841442207,"Normal","FC≤2"
"139",139,"B3471","Medroxyprogesterone",0.782658738,0.958614052,1.22481741461117,"Normal","FC≤2"
"140",140,"B3681","Cyromazine",0.782658738,0.935514918,1.19530374169284,"Normal","FC≤2"
"141",141,"B6298","Bromocriptine mesylate",0.782747604,0.825144112,1.05416370204565,"Normal","FC≤2"
"142",142,"B8228","L-Alanyl-L-Glutamine",0.783513248,0.750178274,0.957454485823831,"Normal","FC≤2"
"143",143,"B3513","Ademetionine",0.784193363,1.03946102,1.32551621710167,"Normal","FC≤2"
"144",144,"B3519","Cefepime Dihydrochloride Monohydrate",0.784193363,0.945139557,1.20523789360354,"Normal","FC≤2"
"145",145,"B7271","Gallein",0.785942492,0.961844634,1.22381044897112,"Normal","FC≤2"
"146",146,"B1941","Estradiol Benzoate",0.786559756,0.967055246,1.22947460586834,"Normal","FC≤2"
"147",147,"B8452","Steviolbioside",0.786653582,0.753030663,0.957258290346156,"Normal","FC≤2"
"148",148,"B3663","Azomycin",0.787262613,0.962463908,1.22254491970902,"Normal","FC≤2"
"149",149,"C6584","2-Amino-1-phenylethanol",0.787464136,1.015052103,1.28901375516104,"Normal","FC≤2"
"150",150,"N2771","Cepharanthine",0.787633769,0.67315933,0.854660321198087,"Normal","FC≤2"
"151",151,"B2293","Irinotecan HCl Trihydrate",0.790331863,0.918190568,1.16177850215309,"Normal","FC≤2"
"152",152,"B8392","D-Penicillamine",0.791364082,0.673163775,0.850637260789908,"Normal","FC≤2"
"153",153,"C6588","Purine",0.794526595,1.007333076,1.26784060135835,"Normal","FC≤2"
"154",154,"C7029","Disodium 5'-inosinate",0.796183868,1.081205783,1.35798504146532,"Normal","FC≤2"
"155",155,"B3484","Misoprostol",0.796470363,0.99518768,1.24949744049673,"Normal","FC≤2"
"156",156,"B3667","Indole-3-carbinol",0.796470363,0.887391723,1.11415535872237,"Normal","FC≤2"
"157",157,"B6523","Spermidine trihydrochloride",0.797124601,0.953609662,1.19631192012351,"Normal","FC≤2"
"158",158,"B7895","L-Arabitol",0.79764475,0.556215831,0.697322750510174,"Normal","FC≤2"
"159",159,"B8714","Quinine",0.79764475,0.677442358,0.849303349642808,"Normal","FC≤2"
"160",160,"B3361","Amoxicillin trihydrate",0.798004988,1.043310876,1.3073989407194,"Normal","FC≤2"
"161",161,"B4724","Pneumocandin B0",0.798004988,1.000962464,1.25433108696308,"Normal","FC≤2"
"162",162,"B7278","UDP disodium salt",0.798722045,1.001372495,1.25371836331374,"Normal","FC≤2"
"163",163,"C6176","N-Acetylglycine",0.79887708,0.959143969,1.20061520478219,"Normal","FC≤2"
"164",164,"N2487","Fisetin",0.799048751,1.026879626,1.28512762796372,"Normal","FC≤2"
"165",165,"B7903","myo-Inositol",0.799214917,0.945566912,1.18311969895327,"Normal","FC≤2"
"166",166,"C6811","5,6-Dimethyl-1H-benzo[d]imidazole",0.799823439,1.040138942,1.30046069080004,"Normal","FC≤2"
"167",167,"B6152","Benzamide",0.800319489,0.971726599,1.21417335496125,"Normal","FC≤2"
"168",168,"N1768","Rosmarinic acid",0.800986842,0.933448574,1.16537316851455,"Normal","FC≤2"
"169",169,"B3464","Eicosapentaenoic Acid",0.801074237,0.900866218,1.12457270049492,"Normal","FC≤2"
"170",170,"B3672","Indirubin",0.801074237,0.927815207,1.15821376365147,"Normal","FC≤2"
"171",171,"B3679","Vanillin",0.801074237,0.864292589,1.07891697058783,"Normal","FC≤2"
"172",172,"B4872","Mupirocin",0.801074237,0.941289702,1.17503429585391,"Normal","FC≤2"
"173",173,"C6589","Tetracycline",0.801589053,0.939791586,1.17241070406684,"Normal","FC≤2"
"174",174,"A4407","Fumagillin",0.802286803,1.099786679,1.37081486930553,"Normal","FC≤2"
"175",175,"C3086","Monoacetylphloroglucinol",0.80235525,0.81293083,1.0131806702829,"Normal","FC≤2"
"176",176,"N2258","Lannaconitine",0.802446483,0.954058557,1.18893730262632,"Normal","FC≤2"
"177",177,"C7108","N-Methylhydantoin",0.80312229,1.141187327,1.42093843143116,"Normal","FC≤2"
"178",178,"B2040","Sulfamethoxazole",0.803360061,0.898124683,1.11796033509811,"Normal","FC≤2"
"179",179,"B2041","Sulfanilamide",0.803360061,1.013684744,1.26180624754757,"Normal","FC≤2"
"180",180,"B8667","Cilastatin",0.803925417,0.810078441,1.00765372492259,"Normal","FC≤2"
"181",181,"A3009","Sorafenib",0.804790419,1.12692035,1.40026561374857,"Normal","FC≤2"
"182",182,"C6522","Sorbic acid",0.805120282,0.935932073,1.16247484248571,"Normal","FC≤2"
"183",183,"B3661","(+)-Usniacin",0.805678112,0.897016362,1.11336816606978,"Normal","FC≤2"
"184",184,"N1786","Astragaloside IV",0.805921053,0.992221262,1.23116434085759,"Normal","FC≤2"
"185",185,"C6517","Maltitol",0.806885897,0.746815901,0.925553295424619,"Normal","FC≤2"
"186",186,"C7007","D-3-Phenyllactic acid",0.808326106,0.932020917,1.1530258766627,"Normal","FC≤2"
"187",187,"N2275","Protopine",0.808970438,1.195905737,1.47830585745087,"Normal","FC≤2"
"188",188,"N1850","Myricetin",0.809210526,0.98357822,1.21547877640929,"Normal","FC≤2"
"189",189,"B2061","Valaciclovir HCl",0.809469263,0.94880892,1.17213705741412,"Normal","FC≤2"
"190",190,"C7153","L-Xylose",0.809646175,1.063266444,1.31324827663146,"Normal","FC≤2"
"191",191,"B5988","Troxerutin",0.809904153,0.836673072,1.03305195917424,"Normal","FC≤2"
"192",192,"B7456","Allopregnanolone",0.809904153,1.024430414,1.26487857878659,"Normal","FC≤2"
"193",193,"B2229","Palonosetron HCl",0.810281987,0.833493744,1.02864651735125,"Normal","FC≤2"
"194",194,"B3342","Spectinomycin dihydrochloride",0.810281987,0.999037536,1.23295044444817,"Normal","FC≤2"
"195",195,"C6791","Acetylcholine iodide",0.810417126,1.167502895,1.44061972229348,"Normal","FC≤2"
"196",196,"B7648","Phosphocreatine disodium salt",0.811501597,0.92561076,1.14061483479742,"Normal","FC≤2"
"197",197,"B8206","Hinokitiol",0.811776251,0.738768719,0.910064464302738,"Normal","FC≤2"
"198",198,"B3448","Dapsone",0.811816612,1.074109721,1.32309404011063,"Normal","FC≤2"
"199",199,"B7239","Sarcosine",0.813099042,1.068899259,1.31459908791775,"Normal","FC≤2"
"200",200,"B7910","Pyridoxal 5 phosphate",0.813346418,0.685999525,0.84342847010608,"Normal","FC≤2"
"201",201,"N2060","12-O-tetradecanoyl phorbol-13-acetate (PMA)",0.813863405,1.237800524,1.52089468133783,"Normal","FC≤2"
"202",202,"N2159","Eupatilin",0.813863405,1.380623661,1.69638252871193,"Normal","FC≤2"
"203",203,"C6529","2,2-Dihydroxyacetic acid",0.813948356,1.032419915,1.2684096077958,"Normal","FC≤2"
"204",204,"N1879","Ginkgolide B",0.814144737,0.974935177,1.19749613636574,"Normal","FC≤2"
"205",205,"C7154","cis-3-Hexen-1-ol",0.814390196,1.441750279,1.77034336376024,"Normal","FC≤2"
"206",206,"B1719","Cysteamine HCl",0.814639397,1.036101083,1.27185241324635,"Normal","FC≤2"
"207",207,"B6049","Tedizolid HCl",0.814696486,0.892670876,1.09570974140669,"Normal","FC≤2"
"208",208,"B6233","O-Phospho-L-serine",0.814696486,0.853143014,1.04719122846444,"Normal","FC≤2"
"209",209,"N1823","Ursolic acid",0.815789474,1.014693172,1.24381743616368,"Normal","FC≤2"
"210",210,"C3055","3-acetyl-11-keto-β-Boswellic Acid",0.816486752,0.781554552,0.957216452178271,"Normal","FC≤2"
"211",211,"C6447","Naringin Dihydrochalcone",0.817343173,1.309036939,1.60157566887758,"Normal","FC≤2"
"212",212,"B3041","BTB06584",0.817955112,1.037536092,1.26845113720617,"Normal","FC≤2"
"213",213,"B4958","Tobramycin Sulfate",0.817955112,0.908565929,1.11077724886204,"Normal","FC≤2"
"214",214,"B2038","Sulfameter",0.818633066,0.985301571,1.20359366353765,"Normal","FC≤2"
"215",215,"B2039","Sulfamethizole",0.818633066,0.928535226,1.13425081952407,"Normal","FC≤2"
"216",216,"C7093","Choline bitartrate",0.818733738,0.902799139,1.10267733830702,"Normal","FC≤2"
"217",217,"N2091","(+)- Corydaline",0.818756371,1.190192811,1.45365929738823,"Normal","FC≤2"
"218",218,"B8669","Ceftazidime pentahydrate",0.819627085,0.802947469,0.979649750105562,"Normal","FC≤2"
"219",219,"B6485","Palmitoylethanolamide",0.821086262,0.96843261,1.17945294522538,"Normal","FC≤2"
"220",220,"B7376","Biocytin",0.821086262,0.729618446,0.88860145366797,"Normal","FC≤2"
"221",221,"B1937","Econazole nitrate",0.821687667,0.916371009,1.11523033118617,"Normal","FC≤2"
"222",222,"B2154","Alprostadil",0.822558987,0.900866218,1.09519953248046,"Normal","FC≤2"
"223",223,"B8631","Vitamin K1",0.822767419,0.590444497,0.717632326420548,"Normal","FC≤2"
"224",224,"C6797","Isovanillin",0.822776429,1.136626785,1.3814527798049,"Normal","FC≤2"
"225",225,"C6829","1-Hydroxy-2-naphthoic acid",0.822776429,1.036279429,1.25949090478867,"Normal","FC≤2"
"226",226,"C6979","Imidazole-4(5)-acetic Acid Hydrochloride",0.823937554,0.399876961,0.485324353840534,"Normal","FC≤2"
"227",227,"B2020","Ribitol",0.824742268,1.084642676,1.31512924471576,"Normal","FC≤2"
"228",228,"B2148","Prednisone",0.825628237,0.958614052,1.16107227083611,"Normal","FC≤2"
"229",229,"C6862","o-Veratraldehyde",0.826307658,1.181011193,1.42926327931963,"Normal","FC≤2"
"230",230,"B4723","Oxytocin acetate",0.827162862,0.943214629,1.1403009882714,"Normal","FC≤2"
"231",231,"C5638","13(Z)-Docosenoic Acid",0.827207759,1.411618257,1.70648575480782,"Normal","FC≤2"
"232",232,"N1766","Esculin",0.827302632,1.080380294,1.30590699486618,"Normal","FC≤2"
"233",233,"C6104","L-Leucine",0.827752156,0.76459144,0.923696102097498,"Normal","FC≤2"
"234",234,"C6254","2-Furoic acid",0.827752156,0.90077821,1.0882221247878,"Normal","FC≤2"
"235",235,"B2141","Calcitriol",0.828697487,0.821944177,0.991850693279585,"Normal","FC≤2"
"236",236,"B1939","Erythromycin",0.83085147,0.902179422,1.08584922164247,"Normal","FC≤2"
"237",237,"B5985","3-Indolebutyric acid (IBA)",0.832268371,0.810321164,0.97362965148654,"Normal","FC≤2"
"238",238,"N1498","Platycodin D",0.832641095,0.925287356,1.1112679419216,"Normal","FC≤2"
"239",239,"A4390","Pemetrexed",0.832777513,1.24958521,1.50050306413593,"Normal","FC≤2"
"240",240,"N1833","Rutin",0.833881579,0.995678479,1.19402862957355,"Normal","FC≤2"
"241",241,"B1940","Erythromycin Ethylsuccinate",0.833906071,0.920425748,1.10375230497632,"Normal","FC≤2"
"242",242,"C7028","2'-Deoxyadenosine monohydrate",0.834345186,1.022762227,1.22582624573326,"Normal","FC≤2"
"243",243,"B3680","Griseofulvin",0.834835987,0.91626564,1.09753970153182,"Normal","FC≤2"
"244",244,"C6769","Bronopol",0.835135732,1.088382864,1.30324068567096,"Normal","FC≤2"
"245",245,"B8654","Oxindole",0.835328754,0.63323033,0.758061214782509,"Normal","FC≤2"
"246",246,"C3310","Sofalcone",0.835328754,0.954124079,1.14221385823383,"Normal","FC≤2"
"247",247,"B2037","Sulfamerazine",0.835433372,0.997465788,1.19395013585835,"Normal","FC≤2"
"248",248,"B8632","L-Cycloserine",0.836898921,0.630377942,0.753230678379618,"Normal","FC≤2"
"249",249,"C6723","Theophylline-7-acetic acid",0.836901346,1.042068699,1.24515118057894,"Normal","FC≤2"
"250",250,"C6830","Quinoline-2-carboxylic acid",0.836901346,0.961018912,1.14830608959255,"Normal","FC≤2"
"251",251,"B2062","Vidarabine",0.836960672,0.985301571,1.17723759784976,"Normal","FC≤2"
"252",252,"B7590","Quinidine",0.837060703,0.736206423,0.879513780017935,"Normal","FC≤2"
"253",253,"N2763","Demethylzeylasteral",0.837098692,1.061160888,1.26766520858451,"Normal","FC≤2"
"254",254,"N1839","Curcumin",0.837171053,0.997407087,1.19140178512598,"Normal","FC≤2"
"255",255,"C6250","2-Pyrrolidinone",0.837377181,0.935797665,1.11753423216341,"Normal","FC≤2"
"256",256,"C7044","6-Methoxy-2-naphthoic acid",0.837814397,1.061211935,1.2666432312454,"Normal","FC≤2"
"257",257,"C7078","Aklomide",0.837814397,1.05659797,1.26113608668389,"Normal","FC≤2"
"258",258,"B3611","Moxidectin",0.837905237,0.843118383,1.00622164150527,"Normal","FC≤2"
"259",259,"B8660","Vitamin A",0.838469087,0.795816496,0.949130395310567,"Normal","FC≤2"
"260",260,"B7860","2-Deoxyadenosine",0.838658147,0.813615152,0.97013920977268,"Normal","FC≤2"
"261",261,"C6696","1-Undecanol",0.838666961,0.988035508,1.17810233852768,"Normal","FC≤2"
"262",262,"B2270","Ouabain",0.839439862,0.789220404,0.940175037815872,"Normal","FC≤2"
"263",263,"C4102","Maltotriose",0.83971414,1.001106501,1.19219917030336,"Normal","FC≤2"
"264",264,"C3092","Nervonic Acid",0.840039254,0.942714523,1.12222675132274,"Normal","FC≤2"
"265",265,"C3154","Hydrocortisone 21-hemisuccinate (sodium salt)",0.840039254,0.663180414,0.789463600471223,"Normal","FC≤2"
"266",266,"A4488","Anacardic acid",0.840400191,1.145295094,1.36279727951656,"Normal","FC≤2"
"267",267,"N1769","Chlorogenic acid",0.840460526,1.025064823,1.21964660003556,"Normal","FC≤2"
"268",268,"B7438","Estropipate",0.841853035,0.923963766,1.09753570704892,"Normal","FC≤2"
